id_i,id_j,scie,sex,rep,age,grd,ses,dep,ctry
7605957,7600009,348.206,0,1,16,7,-2.6642,NA,BRA
7617391,7600009,313.474,0,1,15.833333333333334,8,-3.1025,NA,BRA
7622688,7600009,346.828,0,1,15.5,8,-2.6957,NA,BRA
7615868,7600009,341.861,0,1,15.5,7,-2.2298,NA,BRA
7607011,7600009,224.502,1,NA,15.583333333333334,7,-0.3819,NA,BRA
7620492,7600009,322.561,1,1,15.5,8,-1.9476,NA,BRA
7603758,7600009,383.131,1,1,15.583333333333334,8,-3.5833,NA,BRA
7626980,7600009,251.517,1,1,16,8,NA,NA,BRA
7601431,7600009,321.331,1,1,15.916666666666666,8,0.1894,NA,BRA
7606500,7600009,232.628,1,1,15.666666666666666,8,0.4153,NA,BRA
7620895,7600009,355.436,0,1,15.416666666666666,9,-3.4614,NA,BRA
7628856,7600009,316.83,0,0,15.25,9,-2.2103,NA,BRA
7629524,7600009,318.582,0,1,16,8,-1.9654,NA,BRA
7604034,7600009,303.205,0,1,15.666666666666666,8,-1.5292,NA,BRA
7616151,7600009,326.111,0,NA,15.75,8,NA,NA,BRA
7620539,7600009,315.537,1,1,15.75,8,-1.6304,NA,BRA
7621310,7600009,312.954,1,0,15.666666666666666,8,-0.49,NA,BRA
7616396,7600009,289.212,1,1,15.583333333333334,8,-1.1563,NA,BRA
7617151,7600009,368.822,1,0,15.083333333333334,9,-0.8697,NA,BRA
7627637,7600009,359.236,0,NA,16,9,-2.1846,NA,BRA
7602842,7600009,273.937,0,1,15.416666666666666,9,-2.9725,NA,BRA
7629028,7600009,340.625,1,1,15.583333333333334,9,-0.8028,NA,BRA
7602380,7600009,305.241,0,1,15.833333333333334,9,-2.4663,NA,BRA
7614438,7600009,279.687,1,NA,15.75,9,NA,NA,BRA
7626800,7600010,369.807,1,1,15.416666666666666,10,1.0692,0,BRA
7607109,7600010,350.67,0,0,16,11,-1.3766,0,BRA
7609943,7600010,459.223,0,0,15.916666666666666,11,-2.5954,0,BRA
7608320,7600010,273.301,0,0,15.666666666666666,11,-2.1316,0,BRA
7602055,7600010,302.198,0,0,15.75,11,-2.8855,0,BRA
7623563,7600010,279.956,0,0,15.416666666666666,11,-0.7571,0,BRA
7604764,7600010,328.86,0,0,15.333333333333334,11,-2.5185,0,BRA
7616589,7600010,263.924,1,1,15.75,10,-1.3305,0,BRA
7604514,7600010,343.897,1,0,15.833333333333334,11,-2.5724,0,BRA
7608212,7600010,341.373,1,NA,15.25,11,NA,0,BRA
